Make_ID,Make_Name,Model_ID,Model_Name,MSRP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Displacement,Cylinder,Vehicle Class,EPA Air Pollution Score
475,Acura,5354,TLX,38719.333333333300,26799.5,30921.5,30344.0,21031.153846153800,18514.0,18422.25,nan,nan,nan,nan,nan,nan,nan,2.4,4,small car,3
475,Acura,2149,RLX,62995.0,nan,nan,33086.42857142860,23564.0,23100.0,20308.0,20446.666666666700,nan,nan,nan,nan,nan,nan,3.5,6,midsize car,7
475,Acura,2150,ILX,29215.95238095240,nan,22383.333333333300,19085.0,17201.714285714300,16563.333333333300,10995.0,14700.0,11533.25,nan,nan,nan,nan,nan,2.4,4,small car,3
475,Acura,1872,RL,,,,,,,,,,,,,,,,,,
475,Acura,1873,TL,,,,,,,,,,,,,,,,,,
475,Acura,1874,TSX,,,,,,,,,,,,,,,,,,
475,Acura,3183,RSX,,,,,,,,,,,,,,,,,,
475,Acura,5063,Integra,,,,,,,,,,,,,,,,,,
475,Acura,5145,CL,,,,,,,,,,,,,,,,,,
475,Acura,5168,NSX,,,,,,,,,,,,,,,,,,
475,Acura,5339,Legend,,,,,,,,,,,,,,,,,,
475,Acura,11495,Vigor,,,,,,,,,,,,,,,,,,
582,Audi,3146,A4,47778.21428571430,nan,nan,16600.0,15995.0,12812.0,9480.0,8995.0,7995.0,4975.0,6491.0,5997.0,5995.0,nan,,,,
582,Audi,3147,S4,59558.333333333300,nan,25694.4,10495.0,nan,nan,nan,9491.0,nan,nan,nan,nan,nan,nan,,,,
582,Audi,3148,A6,63780.5,nan,23163.090909090900,nan,21495.0,17605.8,12999.0,11899.0,13995.0,7995.0,7295.0,5995.0,nan,nan,2,4,midsize car,5
582,Audi,3151,A8,101321.0,nan,nan,nan,32747.0,25456.25,24495.0,23983.0,20495.0,16991.0,14241.0,10991.0,nan,4991.0,,,,
582,Audi,3676,A3,42992.0,nan,29960.0,23720.0,19992.333333333300,18657.4,15953.333333333300,nan,15100.0,nan,nan,nan,nan,nan,2,4,small car,7
582,Audi,3677,S6,87290.0,nan,nan,nan,45787.0,37229.0,35090.0,31900.0,24597.666666666700,nan,nan,21450.0,nan,nan,,,,
582,Audi,3678,S8,138345.0,nan,nan,nan,nan,nan,nan,nan,39500,nan,nan,nan,nan,22991,,,,
582,Audi,3679,Q7,67574.47368421050,nan,52109.5,40414.8,37314.22222222220,nan,24096.0,19302.0,13495.0,14068.75,16441.666666666700,nan,6975.0,nan,,,,
582,Audi,3787,A5,53011.666666666700,nan,39368.75,35850.0,24330.0,24248.75,21931.666666666700,16492.571428571400,15620.75,12800.0,10685.0,13188.5,nan,nan,,,,
582,Audi,3788,S5,63096.25,nan,nan,44745.142857142900,36840.0,34997.5,25931.666666666700,26711.25,22922.5,21000.0,17746.5,nan,nan,nan,,,,
582,Audi,3789,R8,217545.0,nan,nan,162998,143998,nan,nan,93888,nan,nan,80444,nan,nan,nan,5.2,10,small car,1
582,Audi,3861,TTS,62690.0,nan,nan,nan,36061.5,30720.0,27100.0,27500.0,nan,nan,nan,23000.0,nan,nan,2,4,small car,3
582,Audi,4015,A7,83655.71428571430,nan,nan,48247.5,38065.0,31866.75,33500.0,27350.0,22123.25,19828.333333333300,nan,nan,nan,nan,,,,
582,Audi,8258,S7,107590.0,nan,nan,49995.0,50406.666666666700,42786.2,40720.0,nan,nan,nan,nan,nan,nan,nan,,,,
582,Audi,3145,TT,,,,,,,,,,,,,,,,,,
582,Audi,3149,RS6,,,,,,,,,,,,,,,,,,
582,Audi,3150,allroad,,,,,,,,,,,,,,,,,,
582,Audi,3675,RS4,,,,,,,,,,,,,,,,,,
582,Audi,4014,RS5,,,,,,,,,,,,,,,,,,
582,Audi,4016,TT RS,,,,,,,,,,,,,,,,,,
582,Audi,8056,90,,,,,,,,,,,,,,,,,,
582,Audi,8057,100,,,,,,,,,,,,,,,,,,
582,Audi,8058,V8,,,,,,,,,,,,,,,,,,
582,Audi,8059,Cabriolet,,,,,,,,,,,,,,,,,,
582,Audi,8173,S3,,,,,,,,,,,,,,,,,,
582,Audi,8685,RS7,,,,,,,,,,,,,,,,,,
582,Audi,13785,A3 Sportback e-tron,,,,,,,,,,,,,,,,,,
582,Audi,14336,5000,,,,,,,,,,,,,,,,,,
582,Audi,14337,4000,,,,,,,,,,,,,,,,,,
582,Audi,14342,80,,,,,,,,,,,,,,,,,,
582,Audi,14343,200,,,,,,,,,,,,,,,,,,
582,Audi,14348,Coupe,,,,,,,,,,,,,,,,,,
582,Audi,16783,RS3,,,,,,,,,,,,,,,,,,
582,Audi,27028,A6 allroad,,,,,,,,,,,,,,,,,,
452,BMW,1719,X3,55783.5,41973.0,41303.0,nan,25811.08695652170,25028.0,nan,nan,nan,nan,nan,6995.0,nan,nan,3,6,small SUV,3
452,BMW,1725,Z4,60374.807692307700,44196.0,31560.0,nan,nan,29794.0,23133.333333333300,19300.0,23000.0,17344.0,18600.0,nan,22991.0,nan,2,4,small car,7
452,BMW,1717,X5,70291.66666666670,nan,nan,nan,27786.5,21749.666666666700,20963.0,16212.8,14747.0,15995.0,9495.0,8332.0,9972.5,7995.0,4.4,8,standard SUV,3
452,BMW,1720,740i,94438.18181818180,nan,44806.666666666700,38994.0,37895.333333333300,35599.5,nan,23495.0,nan,nan,nan,nan,nan,nan,3,6,large car,3
452,BMW,2024,M5,122642.85714285700,nan,93953.0,79770.0,nan,48396.666666666700,nan,39700.0,nan,nan,nan,23943.5,nan,nan,4.4,8,midsize car,3
452,BMW,2300,X1,43978.166666666700,nan,38278.0,nan,24501.35714285710,22559.866666666700,nan,12950.0,nan,nan,nan,nan,nan,nan,2,4,large car,7
452,BMW,9567,M2,64097.5,nan,54490.0,44113.333333333300,40825.333333333300,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,6,small car,3
452,BMW,9570,M4,97289.44444444440,nan,nan,51866.5,51115.666666666700,44460.833333333300,40078.4,nan,nan,nan,nan,nan,nan,nan,3,6,small car,3
452,BMW,1707,128i,,,,,,,,,,,,,,,,,,
452,BMW,1708,135i,,,,,,,,,,,,,,,,,,
452,BMW,1709,328i,,,,,,,,,,,,,,,,,,
452,BMW,1710,M3,,,,,,,,,,,,,,,,,,
452,BMW,1711,335i,,,,,,,,,,,,,,,,,,
452,BMW,1712,335is,,,,,,,,,,,,,,,,,,
452,BMW,1713,335d,,,,,,,,,,,,,,,,,,
452,BMW,1715,528i,,,,,,,,,,,,,,,,,,
452,BMW,1716,535i,,,,,,,,,,,,,,,,,,
452,BMW,1718,550i,,,,,,,,,,,,,,,,,,
452,BMW,1721,740Li,,,,,,,,,,,,,,,,,,
452,BMW,1722,750i,,,,,,,,,,,,,,,,,,
452,BMW,1723,750Li,,,,,,,,,,,,,,,,,,
452,BMW,1724,760Li,,,,,,,,,,,,,,,,,,
452,BMW,1727,750xi,,,,,,,,,,,,,,,,,,
452,BMW,1728,750Lxi,,,,,,,,,,,,,,,,,,
452,BMW,1729,M6,,,,,,,,,,,,,,,,,,
452,BMW,1730,528xi,,,,,,,,,,,,,,,,,,
452,BMW,1731,640i,,,,,,,,,,,,,,,,,,
452,BMW,1732,650i,,,,,,,,,,,,,,,,,,
452,BMW,1733,650xi,,,,,,,,,,,,,,,,,,
452,BMW,1970,1M,,,,,,,,,,,,,,,,,,
452,BMW,1971,Active E,,,,,,,,,,,,,,,,,,
452,BMW,2170,228i,,,,,,,,,,,,,,,,,,
452,BMW,2171,M235i,,,,,,,,,,,,,,,,,,
452,BMW,2172,320i,,,,,,,,,,,,,,,,,,
452,BMW,2173,328d,,,,,,,,,,,,,,,,,,
452,BMW,2178,i3,,,,,,,,,,,,,,,,,,
452,BMW,2179,i8,,,,,,,,,,,,,,,,,,
452,BMW,2219,ActiveHybrid 3,,,,,,,,,,,,,,,,,,
452,BMW,2220,428i,,,,,,,,,,,,,,,,,,
452,BMW,2230,435i,,,,,,,,,,,,,,,,,,
